Customer,State,Customer Lifetime Value,Response,Coverage_Ext,Coverage_Pre,Edu_College,Edu_Bach,Edu_Master,Edu_Doctor,Effective To Date,Employ_Unemp,Employ_Dis,Employ_Med,Employ_Ret,Gender,Income,Locat_Sub,Locat_Rural,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy_Cor,Policy_Spe,Level_2,Level_3,Renew_O2,Renew_O3,Renew_O4,Sales_Bch,Sales_Call,Sales_Web,Total Claim Amount,Vehicle Class,Vehicle_Med,Vehicle_Large
BU79786,Washington,2763.519279,No,0,0,0,1,0,0,2/24/11,0,0,0,0,F,56274,1,0,Married,69,32,5,0,1,1,0,0,1,0,0,0,0,0,0,384.811147,Two-Door Car,1,0
QZ44356,Arizona,6979.535903,No,1,0,0,1,0,0,1/31/11,1,0,0,0,F,0,1,0,Single,94,13,42,0,8,0,0,0,1,0,1,0,0,0,0,1131.464935,Four-Door Car,1,0
AI49188,Nevada,12887.43165,No,0,1,0,1,0,0,2/19/11,0,0,0,0,F,48767,1,0,Married,108,18,38,0,2,0,0,0,1,0,0,0,0,0,0,566.472247,Two-Door Car,1,0
WW63253,California,7645.861827,No,0,0,0,1,0,0,1/20/11,1,0,0,0,M,0,1,0,Married,106,18,65,0,7,1,0,1,0,0,0,0,0,1,0,529.881344,SUV,1,0
HB64268,Washington,2813.692575,No,0,0,0,1,0,0,2002/3/11,0,0,0,0,M,43836,0,1,Single,73,12,44,0,1,0,0,0,0,0,0,0,0,0,0,138.130879,Four-Door Car,1,0
OC83172,Oregon,8256.2978,Yes,0,0,0,1,0,0,1/25/11,0,0,0,0,F,62902,0,1,Married,69,14,94,0,2,0,0,0,1,1,0,0,0,0,1,159.383042,Two-Door Car,1,0
XZ87318,Oregon,5380.898636,Yes,0,0,1,0,0,0,2/24/11,0,0,0,0,F,55350,1,0,Married,67,0,13,0,9,1,0,0,1,0,0,0,0,0,0,321.6,Four-Door Car,1,0
CF85061,Arizona,7216.100311,No,0,1,0,0,1,0,1/18/11,1,0,0,0,M,0,0,0,Single,101,0,68,0,4,1,0,0,1,0,0,0,0,0,0,363.02968,Four-Door Car,1,0
DY87989,Oregon,24127.50402,Yes,0,0,0,1,0,0,1/26/11,0,0,1,0,M,14072,1,0,Divorced,71,13,3,0,2,1,0,0,1,0,0,0,0,0,0,511.2,Four-Door Car,1,0
BQ94931,Oregon,7388.178085,No,1,0,1,0,0,0,2/17/11,0,0,0,0,F,28812,0,0,Married,93,17,7,0,8,0,1,1,0,1,0,0,1,0,0,425.527834,Four-Door Car,1,0
